Country,Total_MismanagedPlasticWaste_2010 (millionT),Total_MismanagedPlasticWaste_2019 (millionT),Mismanaged_PlasticWaste_PerCapita_2010 (kg per year) ,Mismanaged_PlasticWaste_PerCapita_2019 (kg per year) 
Albania,29705,69833,0.032,24.23915307
Algeria,520555,764578,0.086,17.75899473
Angola,62528,236946,0.045,7.445278869
Anguilla,52,0,0.01,0
Antigua and Barbuda,1253,627,0.051,6.463917526
Argentina,157777,465808,0.026,10.40191152
Aruba,372,0,0.007,0
Australia,13889,5266,0.002,0.20894338
Bahamas,1333,2212,0.011,5.686375321
Bahrain,4376,1043,0.016,0.635588056
Bangladesh,787327,1021990,0.03,6.268108387
Barbados,3483,872,0.034,3.038327526
Belgium,2743,2284,0.002,0.19793743
Belize,3892,6021,0.053,15.43846154
Benin,43015,133335,0.036,11.29861876
Bermuda,123,0,0.005,0
Bosnia and Herzegovina,12955,55551,0.061,16.82853681
Brazil,471404,3296700,0.017,15.62046908
British Virgin Islands,55,0,0.005,0
Brunei,93,692,0.001,1.598152425
Bulgaria,18739,3117,0.051,0.445285714
Burkina Faso,0,317298,0,15.61429064
Cambodia,29686,247495,0.058,15.01152423
Cameroon,27713,578798,0.038,22.36814036
Canada,7959,23587,0.002,0.630483013
Cape Verde,9347,3568,0.049,6.487272727
Cayman Islands,95,0,0.005,0
Channel Islands,281,0,0.005,0
Chile,21754,30767,0.011,1.623417054
China,8819717,12272200,0.092,8.559308412
Christmas Island,3,0,0.005,0
Cocos Islands,1,0,0.005,0
Colombia,92173,85454,0.034,1.697570472
Comoros,58032,59158,0.169,69.51586369
Congo,16766,65291,0.054,12.13361829
Cook Islands,416,5751,0.054,0
Costa Rica,42090,291614,0.047,1.139263074
Cote d'Ivoire,194558,17544,0.086,11.33934751
Croatia,16461,0,0.028,4.247941889
Cuba,90630,0,0.022,0
Curacao,268,0,0.005,0
Cyprus,1821,837,0.006,0.698081735
Democratic Republic of Congo,15208,1369730,0.039,15.78193592
Denmark,1791,390,0.001,0.067567568
Djibouti,17324,10289,0.076,10.56365503
